cliente_id,recencia_dias,frecuencia_compras,monto_total,ticket_promedio,antiguedad_dias,segmento_rfm
C00063,129,3,1788.1,596.03,430,Medio-Alto
C00064,94,5,1026.89,205.38,422,Alto
C00065,301,3,1308.89,436.3,440,Bajo
C00066,345,6,844.81,140.8,223,Bajo
C00067,50,1,1213.43,1213.43,389,Alto
C00068,310,1,548.77,548.77,811,Bajo
C00069,225,7,1362.86,194.69,798,Medio-Bajo
C00070,318,25,1366.71,54.67,1579,Bajo
C00071,206,5,1075.28,215.06,493,Medio-Bajo
C00072,237,4,925.66,231.41,327,Medio-Bajo
C00073,14,19,932.95,49.1,1387,Alto
C00074,329,7,790.8,112.97,44,Bajo
C00075,301,14,1235.07,88.22,198,Bajo
C00076,17,11,1557.4,141.58,648,Alto
C00077,162,5,1384.08,276.82,511,Medio-Alto
C00078,355,4,825.41,206.35,505,Bajo
C00079,190,2,756.37,378.19,887,Medio-Bajo
C00080,134,7,842.89,120.41,1991,Medio-Alto
C00081,141,5,1189.52,237.9,324,Medio-Alto
C00082,153,12,1136.1,94.67,846,Medio-Alto
C00083,161,8,1176.71,147.09,296,Medio-Alto
C00084,353,6,949.82,158.3,964,Bajo
C00085,289,10,593.88,59.39,1551,Bajo
C00086,277,3,559.1,186.37,819,Bajo
C00087,62,7,1042.26,148.89,760,Alto
C00088,178,7,2372.05,338.86,1091,Medio-Bajo
C00089,118,4,1289.85,322.46,969,Medio-Alto
C00090,279,3,477.98,159.33,1997,Bajo
C00091,175,3,1756.14,585.38,682,Medio-Bajo
C00092,87,2,1024.29,512.14,1259,Alto
C00093,89,8,680.44,85.06,406,Alto
C00094,208,2,899.35,449.68,1398,Medio-Bajo
C00095,100,6,700.06,116.68,764,Medio-Alto
C00096,204,9,814.0,90.44,40,Medio-Bajo
C00097,20,4,935.39,233.85,1003,Alto
C00098,83,4,751.97,187.99,1878,Alto
C00099,107,1,843.42,843.42,1601,Medio-Alto
C00100,344,5,630.86,126.17,298,Bajo
C00101,194,6,1493.77,248.96,246,Medio-Bajo
C00102,69,1,916.37,916.37,1864,Alto
C00103,264,2,740.04,370.02,484,Bajo
C00104,32,2,993.06,496.53,1359,Alto
C00105,187,1,1282.44,1282.44,1467,Medio-Bajo
C00106,168,7,508.45,72.64,1455,Medio-Alto
C00107,13,3,1179.01,393.0,1152,Alto
C00108,218,5,970.98,194.2,665,Medio-Bajo
C00109,20,6,1427.19,237.87,108,Alto
C00110,170,1,1371.33,1371.33,501,Medio-Bajo
C00111,99,2,1027.6,513.8,159,Medio-Alto
C00112,328,1,1067.16,1067.16,390,Bajo
C00113,154,2,467.4,233.7,765,Medio-Alto
C00114,124,3,1044.06,348.02,370,Medio-Alto
C00115,4,6,1189.31,198.22,1376,Alto
C00116,11,13,1098.8,84.52,1047,Alto
C00117,166,3,1122.1,374.03,560,Medio-Alto
C00118,338,3,1094.77,364.92,1950,Bajo
C00119,261,4,1936.62,484.15,1412,Bajo
C00120,167,6,1368.56,228.09,1839,Medio-Alto
C00121,236,14,1422.36,101.6,366,Medio-Bajo
C00122,287,2,861.28,430.64,862,Bajo
C00123,196,14,1293.4,92.39,424,Medio-Bajo
C00124,16,9,1418.51,157.61,265,Alto
C00125,314,4,1236.94,309.24,30,Bajo
C00126,8,3,1013.51,337.84,316,Alto
C00127,130,6,635.65,105.94,430,Medio-Alto
C00128,213,1,572.64,572.64,92,Medio-Bajo
C00129,15,1,806.0,806.0,340,Alto
C00130,226,5,1124.38,224.88,997,Medio-Bajo
C00131,263,6,1942.06,323.68,478,Bajo
C00132,160,6,1026.47,171.08,519,Medio-Alto
C00133,280,1,861.72,861.72,140,Bajo
C00134,164,3,1491.15,497.05,223,Medio-Alto
C00135,173,6,1492.97,248.83,901,Medio-Bajo
C00136,129,1,670.46,670.46,934,Medio-Alto
C00137,344,4,1018.41,254.6,185,Bajo
C00138,101,10,909.73,90.97,1122,Medio-Alto
C00139,267,3,1012.52,337.51,1428,Bajo
C00140,215,2,1382.65,691.33,960,Medio-Bajo
C00141,209,1,973.97,973.97,429,Medio-Bajo
C00142,353,19,1057.87,55.68,1096,Bajo
C00143,51,16,1489.12,93.07,1345,Alto
C00144,305,1,891.35,891.35,1969,Bajo
C00145,14,3,871.39,290.46,928,Alto
C00146,12,7,1734.55,247.79,1937,Alto
C00147,112,2,1597.16,798.58,204,Medio-Alto
C00148,158,1,1442.5,1442.5,1534,Medio-Alto
C00149,119,5,1378.78,275.76,1386,Medio-Alto
C00150,149,1,1129.76,1129.76,405,Medio-Alto
C00151,170,7,1029.72,147.1,618,Medio-Bajo
C00152,43,10,892.83,89.28,661,Alto
C00153,319,7,1548.61,221.23,1425,Bajo
C00154,251,4,725.7,181.43,1109,Medio-Bajo
C00155,339,14,1094.53,78.18,1004,Bajo
C00156,133,7,1040.88,148.7,1004,Medio-Alto
C00157,52,8,1442.79,180.35,1002,Alto
C00158,14,3,1253.26,417.75,194,Alto
C00159,49,17,1403.41,82.55,722,Alto
C00160,183,3,1501.18,500.39,666,Medio-Bajo
C00161,231,9,945.77,105.09,1328,Medio-Bajo
C00162,315,11,1789.25,162.66,469,Bajo
C00163,27,5,1334.31,266.86,1075,Alto
C00164,70,2,2036.57,1018.28,680,Alto
C00165,88,14,428.78,30.63,1324,Alto
C00166,255,2,1173.02,586.51,1734,Medio-Bajo
C00167,105,6,863.57,143.93,1850,Medio-Alto
C00168,17,7,1924.23,274.89,1815,Alto
C00169,24,6,787.9,131.32,981,Alto
C00170,288,2,350.87,175.44,905,Bajo
C00171,298,5,745.71,149.14,917,Bajo
C00172,161,3,657.77,219.26,1472,Medio-Alto
C00173,204,1,2039.25,2039.25,1486,Medio-Bajo
C00174,125,23,1177.14,51.18,1903,Medio-Alto
C00175,215,15,1174.9,78.33,1426,Medio-Bajo
C00176,174,2,728.16,364.08,1437,Medio-Bajo
C00177,329,3,547.23,182.41,657,Bajo
C00178,13,3,1016.5,338.83,283,Alto
C00179,86,3,1074.77,358.26,913,Alto
C00180,90,1,1906.79,1906.79,635,Alto
C00181,40,4,628.56,157.14,380,Alto
C00182,62,3,1778.38,592.79,1199,Alto
C00183,10,14,1604.16,114.58,106,Alto
C00184,248,3,1185.64,395.21,1621,Medio-Bajo
C00185,99,7,1360.29,194.33,1591,Medio-Alto
C00186,210,3,1040.49,346.83,684,Medio-Bajo
C00187,145,4,529.97,132.49,546,Medio-Alto
C00188,195,5,880.23,176.05,847,Medio-Bajo
C00189,169,12,846.6,70.55,1888,Medio-Alto
C00190,199,4,706.74,176.69,1221,Medio-Bajo
C00191,134,2,1270.54,635.27,424,Medio-Alto
C00192,172,8,1224.71,153.09,1733,Medio-Bajo
C00193,120,4,1445.02,361.25,374,Medio-Alto
C00194,185,5,903.68,180.74,662,Medio-Bajo
C00195,84,10,1482.3,148.23,342,Alto
C00196,154,7,1216.38,173.77,819,Medio-Alto
C00197,254,1,1972.61,1972.61,926,Medio-Bajo
C00198,211,1,1787.95,1787.95,1047,Medio-Bajo
C00199,325,2,1021.94,510.97,1599,Bajo
C00200,121,1,924.49,924.49,664,Medio-Alto
